cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
0.01,L2_primal,0.01,0.5957419573255469,0.6895285622179239,0.4284344653651601,0.00418503368089313,0.008591773216363707,0.009122588571053926,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5957180451665418,0.6907863313990974,0.42685830828481197,0.004187816875210486,0.00796544716419066,0.008062042951764214,L2_Logistic_Regression
1,L2_primal,0.01,0.595713980025907,0.6910560928433269,0.4265336733977128,0.004191470878956175,0.007951930440331793,0.008001247486463458,L2_Logistic_Regression
10,L2_primal,0.01,0.5957135626605822,0.6910909090909091,0.4264913270499043,0.0041906084329563055,0.00795886003843671,0.007966597291907972,L2_Logistic_Regression
100,L2_primal,0.01,0.5957133369658728,0.6910909090909091,0.4264913270499043,0.004190329305020774,0.00795886003843671,0.007966597291907972,L2_Logistic_Regression
1000,L2_primal,0.01,0.5957132378838895,0.6910909090909091,0.4264913270499043,0.004190513123929293,0.00795886003843671,0.007966597291907972,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5924280890948228,0.6992624113475178,0.40851447273952873,0.00420826585673759,0.01197498237310116,0.011263453324824757,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5929109924533562,0.6892482269503546,0.42351466147653827,0.004226381029051072,0.009046293682625332,0.009729872124679436,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5929386903303513,0.6890192134107028,0.4239484527106806,0.0042244744601002,0.0075098691573700265,0.007737858088000552,L2_Logistic_Regression
1,L2_primal,0.01,0.592946271623231,0.6890635718891038,0.4239283558345363,0.004222310788853756,0.007361852734875176,0.007675422204826333,L2_Logistic_Regression
10,L2_primal,0.01,0.5929464078725513,0.6890586718246293,0.42392458886615936,0.0042210971203755585,0.007359984067676525,0.007664843543753438,L2_Logistic_Regression
100,L2_primal,0.01,0.5929465283709802,0.689058413926499,0.42392458886615936,0.0042209034731632965,0.007359301057269309,0.007664843543753438,L2_Logistic_Regression
1000,L2_primal,0.01,0.592946600894603,0.689058413926499,0.42392458886615936,0.004221025419248684,0.007359301057269309,0.007664843543753438,L2_Logistic_Regression
